Ngày,Mua vào,Bán ra
1/2/2020,42.3,42.75
1/3/2020,42.48,42.83
1/4/2020,42.8,43.15
1/6/2020,43.65,44.1
1/7/2020,43.68,44.13
1/8/2020,43.65,44
1/9/2020,43.45,43.95
1/10/2020,42.9,43.4
1/11/2020,43.2,43.65
1/13/2020,43.2,43.65
1/14/2020,42.65,43.05
1/15/2020,42.95,43.3
1/16/2020,43,43.35
1/17/2020,42.95,43.3
1/18/2020,43.1,43.45
1/20/2020,43.3,43.7
1/21/2020,43.55,43.95
1/22/2020,43.25,43.65
1/30/2020,43.3,43.75
1/31/2020,44.15,44.55
2/1/2020,44.35,44.75
2/2/2020,44.45,44.95
2/3/2020,44.35,44.85
2/4/2020,43.8,44.2
2/5/2020,43.25,43.75
2/6/2020,43.4,43.85
2/7/2020,43.6,44
2/8/2020,43.7,44.15
2/10/2020,44.25,44.8
2/11/2020,43.9,44.25
2/12/2020,43.85,44.2
2/13/2020,43.9,44.25
2/14/2020,44,44.35
2/15/2020,44.06,44.43
2/17/2020,44.05,44.4
2/18/2020,44.25,44.55
2/19/2020,44.63,44.98
2/20/2020,44.68,45.03
2/21/2020,44.9,45.3
2/22/2020,45.45,45.85
2/24/2020,45.6,46.05
2/25/2020,46.5,47.8
2/26/2020,46,47
2/27/2020,46.15,46.95
2/28/2020,46,46.6
2/29/2020,44.6,45.6
3/2/2020,45.75,46.2
3/3/2020,45.75,46.25
3/4/2020,46.8,47.6
3/5/2020,46.45,46.95
3/6/2020,46.85,47.35
3/7/2020,46.6,47.1
3/9/2020,46.8,47.3
3/10/2020,47.05,47.65
3/11/2020,46.85,47.45
3/12/2020,46.65,47.25
3/13/2020,46.9,47.5
3/19/2020,45.8,46.6
3/20/2020,46,46.8
3/21/2020,45.75,46.55
3/23/2020,45.8,46.5
3/24/2020,45.8,46.5
3/25/2020,46.5,47.2
3/26/2020,46.6,47.3
3/27/2020,47.05,47.85
3/28/2020,46.95,47.8
3/30/2020,47.1,47.9
3/31/2020,47.1,48.3
4/1/2020,46.6,47.9
4/2/2020,47.05,48.05
4/3/2020,47.15,48.15
4/6/2020,47,48
4/7/2020,47.4,48.4
4/8/2020,47,47.9
4/9/2020,47.2,48.05
4/10/2020,47.6,48.45
4/13/2020,47.45,48.3
4/14/2020,47.55,48.4
4/15/2020,47.7,48.5
4/16/2020,47.55,48.35
4/17/2020,47.5,48.25
4/20/2020,47.4,48.15
4/21/2020,47.4,48.05
4/22/2020,47.5,48.15
4/23/2020,47.65,48.3
4/24/2020,47.75,48.4
4/25/2020,47.9,48.55
4/27/2020,47.85,48.5
4/28/2020,47.75,48.4
4/29/2020,48,48.65
5/4/2020,47.8,48.4
5/5/2020,47.85,48.45
5/6/2020,47.9,48.5
5/7/2020,47.8,48.25
5/8/2020,48,48.45
5/9/2020,47.9,48.3
5/11/2020,47.85,48.3
5/12/2020,47.75,48.15
5/13/2020,48,48.4
5/14/2020,48.17,48.55
5/15/2020,48.3,48.67
5/16/2020,48.32,48.72
5/18/2020,48.58,48.98
5/19/2020,48.5,49
5/20/2020,48.6,49.05
5/21/2020,48.6,49.05
5/22/2020,48.45,48.9
5/23/2020,48.45,48.9
5/25/2020,48.45,48.85
5/26/2020,48.52,48.92
5/27/2020,48.4,48.78
5/28/2020,48.32,48.7
5/29/2020,48.4,48.77
5/30/2020,48.52,48.9
6/1/2020,48.65,49
6/2/2020,48.68,49.03
6/3/2020,48.52,48.87
